district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Mount Laurel Schools 2025-2026 in PDF,New Jersey,https://schoolcalendarinfo.com/mount-laurel-schools/,mount-laurel-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-18,2025-09-02,2025-09-02,2026-06-18,2025-2026,2026-03-08
Muncie Community Schools 2025-2026 in PDF,Indiana,https://schoolcalendarinfo.com/muncie-community-schools/,muncie-community-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Murray County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/murray-county-schools/,murray-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-09-02,2025-09-02,2026-05-22,2025-2026,2026-03-08
Muscogee County Public Schools 2025-2026,,https://schoolcalendarinfo.com/muscogee-county-public-schools/,muscogee-county-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
Mustang Public Schools 2025-2026 in PDF,Oklahoma,https://schoolcalendarinfo.com/mustang-public-schools/,mustang-public-schools,2026-03-13,2026-03-23,2025-12-22,2026-01-06,2026-05-20,2025-08-14,2025-08-14,2026-05-20,2025-2026,2026-03-08
Nash County Public Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/nash-county-public-schools/,nash-county-public-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-18,2025-08-12,2025-08-12,2026-05-18,2025-2026,2026-03-08
Nashua School District 2025-2026 in PDF,New Hampshire,https://schoolcalendarinfo.com/nashua-school-district/,nashua-school-district,2026-04-27,2026-03-01,2025-12-22,2026-01-02,2026-06-17,2025-08-26,2025-08-26,2026-06-17,2025-2026,2026-03-08
"Natick Public Schools 2025-2026 PDF | Holidays, Dates",,https://schoolcalendarinfo.com/natick-public-schools/,natick-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-25,2025-08-27,2025-08-27,2026-06-25,2025-2026,2026-03-08
Natrona County School District 1 2025-2026,Wyoming,https://schoolcalendarinfo.com/natrona-county-school-district-1/,natrona-county-school-district-1,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Nazareth Area School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/nazareth-area-school-district/,nazareth-area-school-district,2026-03-31,2026-04-06,2025-12-24,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
