district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Oakland Unified School District 2025-2026 PDF,California,https://schoolcalendarinfo.com/oakland-unified-school-district/,oakland-unified-school-district,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Oconee County Schools 2025-2026 in PDF Printable,Georgia,https://schoolcalendarinfo.com/oconee-county-schools/,oconee-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Ogden School District 2025-2026 in PDF,Utah,https://schoolcalendarinfo.com/ogden-school-district/,ogden-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-22,2025-08-15,2025-08-15,2026-05-22,2025-2026,2026-03-08
Okaloosa County School District 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/okaloosa-county-school-district/,okaloosa-county-school-district,2026-03-13,2026-03-23,2025-12-22,2026-01-06,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Oklahoma City Public Schools Holidays 2025-2026 PDF,Oklahoma,https://schoolcalendarinfo.com/oklahoma-city-public-schools/,oklahoma-city-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Olathe Unified School District 2025-2026 in PDF,Kansas,https://schoolcalendarinfo.com/olathe-unified-school-district/,olathe-unified-school-district,2026-03-16,2026-03-23,2025-12-19,2026-01-05,2026-05-21,2025-08-14,2025-08-14,2026-05-21,2025-2026,2026-03-08
Old Bridge Public Schools 2026-2027 in PDF,New Jersey,https://schoolcalendarinfo.com/old-bridge-public-schools/,old-bridge-public-schools,2026-03-30,2026-04-03,2025-12-24,2026-01-01,2026-06-19,2025-09-04,2025-09-04,2026-06-19,2025-2026,2026-03-08
Old Bridge Township Public Schools 2025-2026,New Jersey,https://schoolcalendarinfo.com/old-bridge-township-public-schools/,old-bridge-township-public-schools,2026-03-30,2026-04-03,2025-12-24,2026-01-01,2026-06-19,2025-09-04,2025-09-04,2026-06-19,2025-2026,2026-03-08
Oldham County Schools 2025-2026 in PDF,Kentucky,https://schoolcalendarinfo.com/oldham-county-schools/,oldham-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Olentangy Local School District 2025-2026 in PDF,Delaware,https://schoolcalendarinfo.com/olentangy-local-school-district/,olentangy-local-school-district,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-05-28,2025-08-20,2025-08-20,2026-05-28,2025-2026,2026-03-08
Olympia School District 2025-2026 in PDF,Washington,https://schoolcalendarinfo.com/olympia-school-district/,olympia-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-16,2025-09-03,2025-09-03,2026-06-16,2025-2026,2026-03-08
Omaha Public Schools Holidays 2025-2026 PDF,Nebraska,https://schoolcalendarinfo.com/omaha-public-schools/,omaha-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-20,2025-08-14,2025-08-14,2026-05-20,2025-2026,2026-03-08
Onslow County School 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/onslow-county-school/,onslow-county-school,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Orange County Public Schools 2025-2026 | OCPS,,https://schoolcalendarinfo.com/orange-county-public-schools/,orange-county-public-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-05-27,2025-08-11,2025-08-11,2026-05-27,2025-2026,2026-03-08
Oregon School District Holidays 2025-2026,Oregon,https://schoolcalendarinfo.com/oregon-school-district-calendar/,oregon-school-district-calendar,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-12,2025-09-02,2025-09-02,2026-06-12,2025-2026,2026-03-08
Osceola County School District Holidays 2025-2026,,https://schoolcalendarinfo.com/osceola-county-school-district/,osceola-county-school-district,2026-03-13,2026-03-20,2025-12-22,2026-01-02,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Ouachita Parish School 2025-2026 | Download PDF,,https://schoolcalendarinfo.com/ouachita-parish-school/,ouachita-parish-school,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
Owasso Public Schools 2025-2026 in PDF | Oklahoma,Oklahoma,https://schoolcalendarinfo.com/owasso-public-schools/,owasso-public-schools,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-22,2025-08-14,2025-08-14,2026-05-22,2025-2026,2026-03-08
Paradise Valley Unified School District 2025-2026 in PDF,Arizona,https://schoolcalendarinfo.com/paradise-valley-unified-school-district/,paradise-valley-unified-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
Park City School District 2025-2026 PDF &amp; Holidays,Utah,https://schoolcalendarinfo.com/park-city-school-district/,park-city-school-district,2026-04-13,2026-04-17,2025-12-22,2026-01-02,2026-06-05,2025-08-18,2025-08-18,2026-06-05,2025-2026,2026-03-08
Parkway School District 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/parkway-school-district/,parkway-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-22,2025-08-18,2025-08-18,2026-05-22,2025-2026,2026-03-08
Parma City School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/parma-city-school-district/,parma-city-school-district,2026-03-27,2026-04-06,2025-12-22,2026-01-02,2026-06-04,2025-08-25,2025-08-25,2026-06-04,2025-2026,2026-03-08
Pasco County Schools Holidays 2025-2026 PDF,Florida,https://schoolcalendarinfo.com/pasco-county-schools/,pasco-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-06,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
Passaic Public Schools 2025-2026 in PDF,New Jersey,https://schoolcalendarinfo.com/passaic-public-schools/,passaic-public-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-01,2026-06-25,2025-09-04,2025-09-04,2026-06-25,2025-2026,2026-03-08
Paterson Public Schools 2025-2026 in PDF,New Jersey,https://schoolcalendarinfo.com/paterson-public-schools/,paterson-public-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-22,2025-09-04,2025-09-04,2026-06-22,2025-2026,2026-03-08
Paulding County School District 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/paulding-county-school-district/,paulding-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-01,2025-08-01,2026-05-20,2025-2026,2026-03-08
Pender County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/pender-county-schools/,pender-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-21,2025-08-25,2025-08-25,2026-05-21,2025-2026,2026-03-08
Pennsbury School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/pennsbury-school-district/,pennsbury-school-district,2026-04-02,2026-04-06,2025-12-24,2026-01-02,2026-06-18,2025-09-02,2025-09-02,2026-06-18,2025-2026,2026-03-08
Peoria Unified School District 2025-2026 in PDF,Arizona,https://schoolcalendarinfo.com/peoria-unified-school-district/,peoria-unified-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-07-31,2025-07-31,2026-05-21,2025-2026,2026-03-08
Perry Township Schools 2025-2026 in PDF | Holidays,Indiana,https://schoolcalendarinfo.com/perry-township-schools/,perry-township-schools,2026-03-16,2026-03-27,2025-12-22,2026-01-02,2026-05-28,2025-07-30,2025-07-30,2026-05-28,2025-2026,2026-03-08
Pflugerville Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/pflugerville-independent-school-district/,pflugerville-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Philadelphia City School District 2025-2026 PDF,,https://schoolcalendarinfo.com/philadelphia-city-school-district/,philadelphia-city-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-12,2025-08-25,2025-08-25,2026-06-12,2025-2026,2026-03-08
Phoenix Union High School District 2025-2026 in PDF,Arizona,https://schoolcalendarinfo.com/phoenix-union-high-school-district/,phoenix-union-high-school-district,2026-03-09,2026-03-13,2025-12-19,2026-01-02,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Pickens County Schools 2025-2026 in PDF | SC,South Carolina,https://schoolcalendarinfo.com/pickens-county-schools/,pickens-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
Pickerington Schools 2025-2026 PDF | Download,Ohio,https://schoolcalendarinfo.com/pickerington-schools/,pickerington-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-22,2025-08-18,2025-08-18,2026-05-22,2025-2026,2026-03-08
Pike County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/pike-county-schools/,pike-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-06,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Pinellas County Schools Holidays 2025-2026 PDF,Florida,https://schoolcalendarinfo.com/pinellas-county-schools/,pinellas-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Pitt County Schools 2025-2026 &amp; Holiday Breaks,North Carolina,https://schoolcalendarinfo.com/pitt-county-schools/,pitt-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Plainfield School District 202 2025-2026 in PDF,Illinois,https://schoolcalendarinfo.com/plainfield-school-district-202/,plainfield-school-district-202,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-06-01,2025-08-14,2025-08-14,2026-06-01,2025-2026,2026-03-08
Plano Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/plano-independent-school-district/,plano-independent-school-district,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Pleasanton Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/pleasanton-unified-school-district/,pleasanton-unified-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-06,2026-05-29,2025-08-07,2025-08-07,2026-05-29,2025-2026,2026-03-08
Plymouth Canton Schools 2025-2026 in PDF,Michigan,https://schoolcalendarinfo.com/plymouth-canton-schools/,plymouth-canton-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-10,2025-09-02,2025-09-02,2026-06-10,2025-2026,2026-03-08
Polk County Public Schools Holidays 2025-2026 PDF,,https://schoolcalendarinfo.com/polk-county-public-schools/,polk-county-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Polk County Schools 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/polk-county-schools/,polk-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-07,2025-08-07,2026-05-22,2025-2026,2026-03-08
Portage Public Schools 2025-2026 in PDF,Michigan,https://schoolcalendarinfo.com/portage-public-schools/,portage-public-schools,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Portland Public Schools Holidays 2025-2026 PDF,Oregon,https://schoolcalendarinfo.com/portland-public-schools-2/,portland-public-schools-2,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-06-09,2025-08-26,2025-08-26,2026-06-09,2025-2026,2026-03-08
Portland Public Schools Holidays 2025-2026 PDF,Oregon,https://schoolcalendarinfo.com/portland-public-schools/,portland-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-06-09,2025-08-26,2025-08-26,2026-06-09,2025-2026,2026-03-08
Portsmouth Public Schools 2025-2026 PDF | Holidays,Virginia,https://schoolcalendarinfo.com/portsmouth-public-schools/,portsmouth-public-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
Poudre School District 2025-2026 in PDF,Colorado,https://schoolcalendarinfo.com/poudre-school-district/,poudre-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-27,2025-08-14,2025-08-14,2026-05-27,2025-2026,2026-03-08
Poway Unified School District Holidays 2025-2026,California,https://schoolcalendarinfo.com/poway-unified-school-district/,poway-unified-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-04,2025-08-13,2025-08-13,2026-06-04,2025-2026,2026-03-08
Prince George’s County Public Schools 2025-2026,Maryland,https://schoolcalendarinfo.com/prince-georges-county-public-schools/,prince-georges-county-public-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-12,2025-08-26,2025-08-26,2026-06-12,2025-2026,2026-03-08
Prince William County Public Schools Holidays 2025-2026,Virginia,https://schoolcalendarinfo.com/prince-william-county-public-schools/,prince-william-county-public-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-12,2025-08-18,2025-08-18,2026-06-12,2025-2026,2026-03-08
Prior Lake Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/prior-lake-schools/,prior-lake-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-04,2025-09-02,2025-09-02,2026-06-04,2025-2026,2026-03-08
Prosper Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/prosper-independent-school-district/,prosper-independent-school-district,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-20,2025-08-12,2025-08-12,2026-05-20,2025-2026,2026-03-08
Providence Schools 2025-2026 in PDF,Rhode Island,https://schoolcalendarinfo.com/providence-schools/,providence-schools,2026-04-20,2026-04-24,2025-12-22,2026-01-02,2026-06-16,2025-08-27,2025-08-27,2026-06-16,2025-2026,2026-03-08
Putnam County Schools WV 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/putnam-county-schools-wv/,putnam-county-schools-wv,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-04,2025-08-21,2025-08-21,2026-06-04,2025-2026,2026-03-08
Puyallup School District 2025-2026 in PDF,Washington,https://schoolcalendarinfo.com/puyallup-school-district/,puyallup-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-16,2025-09-03,2025-09-03,2026-06-16,2025-2026,2026-03-08
Quincy Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/quincy-public-schools/,quincy-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-01,2025-09-03,2025-09-03,2026-06-01,2025-2026,2026-03-08
Randolph Township School District 2025-2026 in PDF,New Jersey,https://schoolcalendarinfo.com/randolph-township-schools-district/,randolph-township-schools-district,2026-03-30,2026-04-03,2025-12-24,2026-01-01,2026-06-11,2025-08-27,2025-08-27,2026-06-11,2025-2026,2026-03-08
Rapides Parish Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/rapides-parish-schools/,rapides-parish-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
Reading School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/reading-school-district/,reading-school-district,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Red Clay School District 2025-2026 in PDF,Delaware,https://schoolcalendarinfo.com/red-clay-school-district/,red-clay-school-district,2026-04-02,2026-04-10,2025-12-22,2026-01-05,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Redlands Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/redlands-unified-school-district/,redlands-unified-school-district,2026-03-23,2026-04-03,2025-12-22,2026-01-09,2026-06-04,2025-08-07,2025-08-07,2026-06-04,2025-2026,2026-03-08
Reynolds School District 2025-2026 | Pennsylvania,Pennsylvania,https://schoolcalendarinfo.com/reynolds-school-district/,reynolds-school-district,2026-04-02,2026-04-06,2025-12-23,2026-01-02,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Reynoldsburg City Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/reynoldsburg-city-schools/,reynoldsburg-city-schools,2026-03-23,2026-03-27,2025-12-19,2026-01-02,2026-05-28,2025-08-22,2025-08-22,2026-05-28,2025-2026,2026-03-08
Rialto Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/rialto-unified-school-district/,rialto-unified-school-district,2026-03-23,2026-03-27,2025-12-22,2026-01-12,2026-06-04,2025-08-11,2025-08-11,2026-06-04,2025-2026,2026-03-08
Richardson Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/richardson-independent-school-district/,richardson-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Richland School District 2 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/richland-school-district-2/,richland-school-district-2,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Richmond City Public Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/richmond-city-public-schools/,richmond-city-public-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
Richmond County Schools 2025-2026,Georgia,https://schoolcalendarinfo.com/richmond-county-schools/,richmond-county-schools,2026-04-06,2026-04-13,2025-12-22,2026-01-05,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Rio Rancho Public Schools 2025-2026 in PDF,New Mexico,https://schoolcalendarinfo.com/rio-rancho-public-schools/,rio-rancho-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Roane County Schools 2025-2026 in PDF | West Virginia,Virginia,https://schoolcalendarinfo.com/roane-county-schools/,roane-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Roanoke City Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/roanoke-city-schools/,roanoke-city-schools,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-06-04,2025-08-19,2025-08-19,2026-06-04,2025-2026,2026-03-08
Robertson County Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/robertson-county-schools/,robertson-county-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-05,2025-08-05,2026-05-22,2025-2026,2026-03-08
Rochester City School District 2025-2026,New York,https://schoolcalendarinfo.com/rochester-city-school-district/,rochester-city-school-district,2026-03-20,2026-04-03,2025-12-22,2026-01-02,2026-06-25,2025-09-04,2025-09-04,2026-06-25,2025-2026,2026-03-08
Rock Hill Schools 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/rock-hill-schools/,rock-hill-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-29,2025-08-04,2025-08-04,2026-05-29,2025-2026,2026-03-08
Rockdale County School District 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/rockdale-county-school-district/,rockdale-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-28,2025-08-04,2025-08-04,2026-05-28,2025-2026,2026-03-08
Rockwood School District 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/rockwood-school-district/,rockwood-school-district,2026-03-13,2026-03-20,2025-12-22,2026-01-02,2026-05-22,2025-08-18,2025-08-18,2026-05-22,2025-2026,2026-03-08
Rogers Public Schools 2025-2026 PDF,Arkansas,https://schoolcalendarinfo.com/rogers-public-schools/,rogers-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Rome City Schools 2025-2026 in PDF | Academic,Georgia,https://schoolcalendarinfo.com/rome-city-schools/,rome-city-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-01,2025-08-01,2026-05-20,2025-2026,2026-03-08
Round Rock Independent School District 2025-2026 PDF,Texas,https://schoolcalendarinfo.com/round-rock-independent-school-district/,round-rock-independent-school-district,2026-03-16,2026-03-20,2025-12-19,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Rowan Salisbury Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/rowan-salisbury-schools/,rowan-salisbury-schools,2026-03-09,2026-03-13,2025-12-18,2026-01-05,2026-05-20,2025-08-07,2025-08-07,2026-05-20,2025-2026,2026-03-08
Royal Oak Schools 2025-2026 in PDF | Holidays,,https://schoolcalendarinfo.com/royal-oak-schools/,royal-oak-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Rutherford County Schools Holidays 2025-2026 PDF,Tennessee,https://schoolcalendarinfo.com/rutherford-county-schools/,rutherford-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-06,2026-05-29,2025-08-08,2025-08-08,2026-05-29,2025-2026,2026-03-08
Saint Louis Public Schools 2025-2026 (Missouri),Missouri,https://schoolcalendarinfo.com/saint-louis-public-schools/,saint-louis-public-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-02,2026-05-21,2025-08-18,2025-08-18,2026-05-21,2025-2026,2026-03-08
Salem Keizer Schools 2025-2026 in PDF,Oregon,https://schoolcalendarinfo.com/salem-keizer-schools/,salem-keizer-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-06-10,2025-09-02,2025-09-02,2026-06-10,2025-2026,2026-03-08
San Angelo Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/san-angelo-independent-school-district/,san-angelo-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-14,2025-08-14,2026-05-22,2025-2026,2026-03-08
San Diego Unified School District Holidays 2025-2026,California,https://schoolcalendarinfo.com/san-diego-unified-school-district/,san-diego-unified-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
San Francisco Unified School District 2025-2026 PDF,California,https://schoolcalendarinfo.com/san-francisco-unified-school-district/,san-francisco-unified-school-district,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-06-03,2025-08-18,2025-08-18,2026-06-03,2025-2026,2026-03-08
San Jose Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/san-jose-unified-school-district/,san-jose-unified-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-29,2025-08-07,2025-08-07,2026-05-29,2025-2026,2026-03-08
San Juan Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/san-juan-unified-school-district/,san-juan-unified-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-06-09,2025-08-14,2025-08-14,2026-06-09,2025-2026,2026-03-08
San Ramon Valley Unified School District 2025-2026,California,https://schoolcalendarinfo.com/san-ramon-valley-unified-school-district/,san-ramon-valley-unified-school-district,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-06-05,2024-08-14,2024-08-14,2025-06-05,2025-2026,2026-03-08
Santa Ana Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/santa-ana-unified-school-district/,santa-ana-unified-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Santa Rosa County District Schools 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/santa-rosa-county-district-schools/,santa-rosa-county-district-schools,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Sarasota County Schools 2025-2026 with Holidays,Florida,https://schoolcalendarinfo.com/sarasota-county-schools/,sarasota-county-schools,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-27,2025-08-11,2025-08-11,2026-05-27,2025-2026,2026-03-08
Saugus Union School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/saugus-union-school-district/,saugus-union-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-09,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Scarsdale Public Schools 2025-2026 PDF | Holidays,New York,https://schoolcalendarinfo.com/scarsdale-public-schools/,scarsdale-public-schools,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-26,2025-09-02,2025-09-02,2026-06-26,2025-2026,2026-03-08
Schenectady City School District 2025-2026 in PDF,New York,https://schoolcalendarinfo.com/schenectady-city-school-district/,schenectady-city-school-district,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-26,2025-09-04,2025-09-04,2026-06-26,2025-2026,2026-03-08
Scott County Schools 2025-2026 in PDF,Kentucky,https://schoolcalendarinfo.com/scott-county-schools/,scott-county-schools,,,,,2026-05-20,2025-08-13,2025-08-13,2026-05-20,2025-2026,2026-03-08
Scottsdale Unified School District 2025-2026 in PDF,Arizona,https://schoolcalendarinfo.com/scottsdale-unified-school-district/,scottsdale-unified-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Seattle Public Schools Holidays 2025-2026 PDF,Washington,https://schoolcalendarinfo.com/seattle-public-schools/,seattle-public-schools,2026-04-13,2026-04-17,2025-12-22,2026-01-02,2026-06-17,2025-09-03,2025-09-03,2026-06-17,2025-2026,2026-03-08
Seminole County Public Schools 2025-2026,Florida,https://schoolcalendarinfo.com/seminole-county-public-schools/,seminole-county-public-schools,2026-03-13,2026-03-20,2025-12-19,2026-01-05,2026-05-27,2025-08-11,2025-08-11,2026-05-27,2025-2026,2026-03-08
Shakopee Public Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/shakopee-public-schools/,shakopee-public-schools,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-04,2025-09-02,2025-09-02,2026-06-04,2025-2026,2026-03-08
Sioux City School District 2025-2026 in PDF,Iowa,https://schoolcalendarinfo.com/sioux-city-school-district/,sioux-city-school-district,2026-04-02,2026-04-06,2025-12-22,2026-01-02,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Smithtown School District 2025-2026 in PDF,New York,https://schoolcalendarinfo.com/smithtown-school-district/,smithtown-school-district,2026-04-02,2026-04-10,2025-12-24,2026-01-02,2026-06-25,2025-09-02,2025-09-02,2026-06-25,2025-2026,2026-03-08
Snoqualmie Valley School District 2025-2026 PDF,Washington,https://schoolcalendarinfo.com/snoqualmie-valley-school-district/,snoqualmie-valley-school-district,2026-04-13,2026-04-17,2025-12-22,2026-01-02,2026-06-11,2025-08-26,2025-08-26,2026-06-11,2025-2026,2026-03-08
