leaid,lea_name,state,city,enrollment_2324,website,lea_type,operational_schools
2500044,Pioneer Valley Performing Arts Charter Public (District),MA,South Hadley,399,http://www.pvpa.org,Independent charter district,1
2600125,Plymouth Educational Center Charter School,MI,DETROIT,399,http://www.plymouthed.org,Independent charter district,1
3016050,Lame Deer Elem,MT,Lame Deer,399,http://www.lamedeerschools.org,Regular public school district that is not a component of a supervisory union,2
3500510,CLAYTON,NM,CLAYTON,399,http://www.claytonschools.us,Regular public school district that is not a component of a supervisory union,4
3601168,EXPLORATION ELE CS - SCIENCE-TECHNOL,NY,ROCHESTER,399,http://www.explorationrochester.org,Independent charter district,1
3601214,HELLENIC CLASSICAL CHARTER SCHOOL - STATEN ISLAND,NY,STATEN ISLAND,399,http://www.hccs-nys.org,Independent charter district,1
3800018,CAVALIER 6,ND,Cavalier,399,http://www.cavalierschool.org,Regular public school district that is not a component of a supervisory union,2
3900505,Menlo Park Academy,OH,Cleveland,399,http://www.menloparkacademy.com,Independent charter district,1
3901608,Kenmore Preparatory Academy dba Toledo Preparatory Academy,OH,Toledo,399,http://toledoprepacademy.org/,Independent charter district,1
4102160,Blachly SD 90,OR,Blachly,399,http://www.blachly.k12.or.us,Independent charter district,1
4822260,HAMLIN COLLEGIATE ISD,TX,HAMLIN,399,http://www.hamlincollegiate.com/,Regular public school district that is not a component of a supervisory union,2
4900192,Treeside Charter School,UT,PROVO,399,http://treesidecharter.org,Independent charter district,1
5513890,Siren School District,WI,Siren,399,http://www.siren.k12.wi.us,Regular public school district that is not a component of a supervisory union,2
0601652,Gabriella Charter 2 District,CA,Los Angeles,398,http://www.gabriellacharterschools.org,Independent charter district,1
0602059,Aspire Rosa Parks Academy District,CA,Stockton,398,http://www.aspirepublicschools.org,Independent charter district,1
0602115,Public Safety Academy District,CA,San Bernardino,398,http://www.psasb.us,Independent charter district,1
1100103,Washington Leadership Academy PCS,DC,Washington,398,http://www.washingtonleadershipacademy.org,Independent charter district,1
1600153,BLACKFOOT CHARTER COMMUNITY LEARNING CENTER INC.,ID,BLACKFOOT,398,,Independent charter district,1
1800187,Herron-Riverside High School,IN,Indianpolis,398,http://NULL,Independent charter district,1
1931830,Winfield-Mt Union Comm School District,IA,Winfield,398,http://www.wmucsd.org,Regular public school district that is not a component of a supervisory union,2
2500043,Up-Island Regional,MA,Vineyard Haven,398,http://www.mvyps.org/,Regular public school district that is not a component of a supervisory union,2
2700186,AFSA HIGH SCHOOL,MN,VADNAIS HEIGHTS,398,http://www.afsahighschool.com,Independent charter district,2
2700315,LIONSGATE ACADEMY,MN,MINNETONKA,398,http://lionsgate.academy/,Independent charter district,4
3303690,Henniker School District,NH,Henniker,398,,Regular public school district that is not a component of a supervisory union,1
3700107,Metrolina Regional Scholars Academy,NC,Charlotte,398,http://www.scholarsacademy.org,Independent charter district,1
4000773,HARDING FINE ARTS (CHARTER),OK,Oklahoma City,398,http://hardingfinearts.org/,Independent charter district,1
4825800,KNIPPA ISD,TX,KNIPPA,398,http://www.knippaisd.net,Regular public school district that is not a component of a supervisory union,2
0400955,Estrella Educational Foundation (92988),AZ,PHOENIX,397,http://estrellaeducationalfoundation.org/,Independent charter district,2
1800145,Tindley Genesis Academy,IN,Indianapolis,397,http://tindleygenesis.org/,Independent charter district,1
1907900,Collins-Maxwell Comm School District,IA,Maxwell,397,http://www.collins-maxwell.k12.ia.us,Regular public school district that is not a component of a supervisory union,2
2680300,Clare-Gladwin Regional Education Service District,MI,CLARE,397,http://www.cgresd.net,Specialized public school district,1
3023040,Roundup Elem,MT,Roundup,397,http://roundup.k12.mt.us,Regular public school district that is not a component of a supervisory union,2
3100109,SOUTHERN VALLEY SCHOOLS,NE,OXFORD,397,,Regular public school district that is not a component of a supervisory union,2
3306540,Sunapee School District,NH,Sunapee,397,,Regular public school district that is not a component of a supervisory union,3
3600053,JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,NY,NEW YORK,397,http://www.jvlwildcat.org,Independent charter district,1
3601156,SOUTH BRONX CLASSICAL CHARTER SCHOOL IV,NY,BRONX,397,http://www.classicalcharterschools.org,Independent charter district,1
3603630,AVOCA CENTRAL SCHOOL DISTRICT,NY,AVOCA,397,http://www.avocacsd.org,Regular public school district that is not a component of a supervisory union,1
3900177,Focus Learning Academy of Southwestern Columbus,OH,Columbus,397,http://focuslearn.org,Independent charter district,1
0601906,Escuela Popular Accelerated Family Learning District,CA,San Jose,396,http://www.escuelapopular.org,Independent charter district,1
1600012,LIBERTY CHARTER SCHOOL INC.,ID,NAMPA,396,,Independent charter district,1
1711400,CUSD 3 Fulton County,IL,Cuba,396,,Regular public school district that is not a component of a supervisory union,3
1800146,Vision Academy,IN,Indianapolis,396,http://www.visionacademy-riverside.org,Independent charter district,1
2700110,CEDAR MOUNTAIN SCHOOL DISTRICT,MN,MORGAN,396,http://www.cms.mntm.org/,Regular public school district that is not a component of a supervisory union,2
3000654,Big Sky School K-12,MT,Gallatin Gateway,396,http://www.bssd72.org,Regular public school district that is not a component of a supervisory union,3
3100004,LAUREL-CONCORD-COLERIDGE SCHOOL,NE,LAUREL,396,,Regular public school district that is not a component of a supervisory union,3
3177520,SUTTON PUBLIC SCHOOLS,NE,SUTTON,396,,Regular public school district that is not a component of a supervisory union,2
3601167,SUCCESS ACADEMY CHARTER SCHOOL-HUDSON YARDS,NY,NEW YORK,396,http://www.successacademies.org,Independent charter district,1
3601189,BOQUET VALLEY CSD,NY,WESTPORT,396,http://www.boquetvalleycsd.org,Regular public school district that is not a component of a supervisory union,2
3601198,BOLD CHARTER SCHOOL,NY,BRONX,396,http://www.boldschools.org,Independent charter district,1
3901346,Madison Avenue School of Arts,OH,Toledo,396,http://www.madisonavenueschoolofart.com/,Independent charter district,1
3906280,U S Grant,OH,Bethel,396,http://www.grantcareer.com,Service agency,1
4801458,GOODWATER MONTESSORI SCHOOL,TX,GEORGETOWN,396,http://www.GoodwaterMontessori.org,Independent charter district,1
4900072,Guadalupe School,UT,SALT LAKE CITY,396,http://www.guadschool.org/,Independent charter district,1
0400184,Ball Charter Schools (Dobson) (79204),AZ,CHANDLER,395,http://www.dobsonacademy.org,Independent charter district,1
0502550,ARMOREL SCHOOL DISTRICT,AR,ARMOREL,395,http://armorel.crsc.k12.ar.us,Regular public school district that is not a component of a supervisory union,2
0509780,MINERAL SPRINGS SCHOOL DISTRICT,AR,MINERAL SPRINGS,395,http://mssd2.k12.ar.us,Regular public school district that is not a component of a supervisory union,2
2680100,Allegan Area Educational Service Agency,MI,ALLEGAN,395,,Specialized public school district,2
2925410,POLO R-VII,MO,POLO,395,http://WWW.POLO.K12.MO.US,Regular public school district that is not a component of a supervisory union,3
3100041,STANTON COMMUNITY SCHOOLS,NE,STANTON,395,,Regular public school district that is not a component of a supervisory union,2
3501200,HAGERMAN,NM,HAGERMAN,395,http://www.bobcat.net,Regular public school district that is not a component of a supervisory union,3
3614250,HERMON-DEKALB CENTRAL SCHOOL DISTRICT,NY,DE KALB JUNCTION,395,http://www.hdcsk12.org,Regular public school district that is not a component of a supervisory union,1
4005430,BRIGGS,OK,Tahlequah,395,http://www.briggs.k12.ok.us,Regular public school district that is not a component of a supervisory union,1
4801434,THE PRO-VISION ACADEMY,TX,HOUSTON,395,http://www.provisionacademy.org,Independent charter district,2
4900008,Pinnacle Canyon Academy,UT,Price,395,http://www.pcaschool.com,Independent charter district,1
5008224,Blue Mountain Union School District #21,VT,Wells River,395,http://www.bmuschool.org/,Regular public school district that is a component of a supervisory union,1
0400373,Tucson International Academy Inc. (79979),AZ,TUCSON,394,,Independent charter district,4
0400798,Pioneer Preparatory School (90140),AZ,PHOENIX,394,http://pioneer.cfacademy.school/,Independent charter district,1
0905100,Willington School District,CT,Willington,394,http://www.willingtonpublicschools.org/,Regular public school district that is not a component of a supervisory union,2
1727740,Nashville CHSD 99,IL,Nashville,394,http://www.nashville-k12.org,Regular public school district that is not a component of a supervisory union,1
1800013,Timothy L Johnson Academy,IN,Fort Wayne,394,http://www.johnsonacademy.com/,Independent charter district,1
2400027,SEED School of Maryland,MD,Baltimore,394,http://www.seedschoolmd.org,State operated agency,1
2500588,Hampden Charter School of Science West (District),MA,West Springfield,394,http://west.hampdencharter.org,Independent charter district,1
3306420,Strafford School District,NH,Strafford,394,,Regular public school district that is not a component of a supervisory union,1
3600073,ENTERPRISE CHARTER SCHOOL,NY,BUFFALO,394,http://www.enterprisecharter.org,Independent charter district,1
3601128,FINN ACADEMY: AN ELMIRA CHARTER SCHOOL,NY,ELMIRA,394,http://www.finnacademy.com,Independent charter district,1
3614490,HINSDALE CENTRAL SCHOOL DISTRICT,NY,HINSDALE,394,http://www.hinsdalebobcats.org,Regular public school district that is not a component of a supervisory union,1
3904596,New Knoxville Local,OH,New Knoxville,394,http://www.nk.k12.oh.us/,Regular public school district that is not a component of a supervisory union,2
4213390,Lawrence County Career and Technical Center,PA,New Castle,394,http://www.lcvt.tec.pa.us,Specialized public school district,1
4834770,PETTUS ISD,TX,PETTUS,394,http://www.pettusisd.com,Regular public school district that is not a component of a supervisory union,2
0601694,Alliance Jack H. Skirball Middle District,CA,Los Angeles,393,http://skirballmiddle.org,Independent charter district,1
0601821,Aspire Antonio Maria Lugo Academy District,CA,Huntington Park,393,http://www.aspirepublicschools.org,Independent charter district,1
1739480,Tri Point CUSD 6-J,IL,Kempton,393,http://www.tripointschools.org,Regular public school district that is not a component of a supervisory union,3
1912750,Glidden-Ralston Comm School District,IA,Glidden,393,http://www.glidden-ralston.k12.ia.us,Regular public school district that is not a component of a supervisory union,2
2008610,Leoti,KS,Leoti,393,http://www.leoti.org,Regular public school district that is not a component of a supervisory union,2
