district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Houston Independent School District 2025-2026 PDF,Texas,houston-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-06,2025-06-04,2024-08-12,2024-08-12,2025-06-04,schoolcalendarinfo.com (current page)
Howell Township Public Schools 2025-2026 | New Jersey,New Jersey,howell-township-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-20,2024-09-09,2024-09-09,2025-06-20,schoolcalendarinfo.com (current page)
Humble Independent School District 2025-2026,Texas,humble-independent-school-district,2024-2025,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-29,2025-08-13,2025-08-13,2026-05-29,schoolcalendarinfo.com (current page)
Huron Valley Schools 2025 in PDF,Michigan,huron-valley-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-06-12,2024-09-03,2024-09-03,2025-06-12,schoolcalendarinfo.com (current page)
Hutchinson Public Schools 2025-2026 (Minnesota),Minnesota,hutchinson-public-schools,2024-2025,2025-03-07,2025-03-14,2024-12-20,2025-01-01,2025-06-04,2024-09-03,2024-09-03,2025-06-04,schoolcalendarinfo.com (current page)
Iredell-Statesville Schools 2025-2026 in PDF,North Carolina,iredell-statesville-schools,2024-2025,2025-04-18,2025-04-22,2024-12-23,2025-01-03,2025-05-23,2024-08-12,2024-08-12,2025-05-23,schoolcalendarinfo.com (current page)
Irving Independent School District 2025-2026 in PDF,Texas,irving-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-06,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
Jeffco Public Schools 2025-2026 &amp; Holidays,Colorado,jeffco-public-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-03,2025-05-23,2024-08-14,2024-08-14,2025-05-23,schoolcalendarinfo.com (current page)
Jenks Public Schools 2025-2026 in PDF,Oklahoma,jenks-public-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-16,2024-08-15,2024-08-15,2025-05-16,schoolcalendarinfo.com (current page)
Jericho Union Free School District 2025-2026 in PDF,New York,jericho-union-free-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-27,2024-08-28,2024-08-28,2025-06-27,schoolcalendarinfo.com (current page)
